insured name,insured address,country of incorporation,business_description,risk_type,broker _contact,class_of_business,submission_date,claims_frequency,Largest_single_loss,incurred_Loss,Ultimate_Premium,Loss_Ratio,TIV
Ironclad Shipping Ltd,"16 Business Park, City_101, UK",Germany,Marine Shipping,Energy Offshore,BMS Group,Energy,06-02-2026,4,2510969,2819366,7866535,0.3584,319505952
Northbridge Technologies Ltd,"48 Business Park, City_45, UK",Singapore,Marine Shipping,Marine Hull,Gallagher London,Energy,16-03-2026,3,1915108,4545681,12725871,0.3572,936320041
Silverstone Engineering Ltd,"98 Business Park, City_181, UK",United Kingdom,Electronics Manufacturing,Industrial All Risks,Marsh Ltd,Energy,17-02-2026,1,668980,1371078,3700617,0.3705,24475633
BlueWave Industries Ltd,"10 Business Park, City_15, UK",United Kingdom,Retail & Distribution,Marine Hull,WTW London,Property Damage & BI,25-03-2026,2,4201280,9505028,10163632,0.9352,209692175
Oakridge Engineering Ltd,"78 Business Park, City_106, UK",Germany,Construction Contractor,Energy Offshore,Aon UK Ltd,Property Damage & BI,09-03-2026,2,500214,8155871,9217757,0.8848,1335388480
Crown Logistics Ltd,"211 Business Park, City_181, UK",United Kingdom,Financial Advisory,Energy Offshore,Aon UK Ltd,Casualty,02-01-2026,3,2656341,6737509,11785043,0.5717,1310478289
Harbour Capital Partners Ltd,"59 Business Park, City_184, UK",France,Oil & Gas Services,Industrial All Risks,Gallagher London,Casualty,23-02-2026,4,3086968,5910303,10864529,0.544,1481620419
Redwood Industries Ltd,"113 Business Park, City_167, UK",France,Oil & Gas Services,Industrial All Risks,Marsh Ltd,Energy,20-02-2026,5,1469549,2116945,9818858,0.2156,34422786
Ironclad Logistics Ltd,"159 Business Park, City_19, UK",United States,Oil & Gas Services,Professional Indemnity,Marsh Ltd,Marine,08-01-2026,1,3430582,5215564,7419011,0.703,630330010
Highland Holdings Ltd,"157 Business Park, City_41, UK",France,Oil & Gas Services,Professional Indemnity,BMS Group,Energy,15-01-2026,5,602722,4515135,7868831,0.5738,1042387152
Silverstone Shipping Ltd,"45 Business Park, City_81, UK",France,Oil & Gas Services,Industrial All Risks,Marsh Ltd,Marine,28-02-2026,0,1522185,3495213,14472933,0.2415,1491287056
Oakridge Energy Services Ltd,"234 Business Park, City_139, UK",France,Retail & Distribution,Products Liability,Gallagher London,Products Liability,01-02-2026,4,73852,111546,727161,0.1534,455915731
Greenfield Engineering Ltd,"45 Business Park, City_69, UK",Germany,Financial Advisory,Products Liability,Aon UK Ltd,Products Liability,02-03-2026,3,33911,279277,5350145,0.0522,1015850096
Silverstone Energy Services Ltd,"159 Business Park, City_90, UK",United States,Food Processing,Energy Offshore,WTW London,Marine,24-01-2026,3,1037907,1697257,14469371,0.1173,467096788
Ironclad Logistics Ltd,"202 Business Park, City_85, UK",Netherlands,Manufacturing,Industrial All Risks,Lockton Companies,Financial Lines,30-03-2026,1,10397881,10663910,12446207,0.8568,1345057267
Redwood Shipping Ltd,"139 Business Park, City_135, UK",United States,Oil & Gas Services,Industrial All Risks,Howden UK,Property Damage & BI,18-01-2026,2,603973,678859,683507,0.9932,190676267
Sterling Group PLC,"27 Business Park, City_32, UK",United Kingdom,Financial Advisory,Professional Indemnity,WTW London,Products Liability,25-03-2026,3,44104,121099,390265,0.3103,764909636
Redwood Shipping Ltd,"144 Business Park, City_90, UK",France,Marine Shipping,Professional Indemnity,WTW London,Energy,16-02-2026,2,594972,3055944,3830465,0.7978,1405329073
Oakridge Industries Ltd,"138 Business Park, City_166, UK",United Kingdom,Electronics Manufacturing,Marine Hull,BMS Group,Casualty,24-02-2026,3,6346117,11320792,12624950,0.8967,378676085
Oakridge Logistics Ltd,"14 Business Park, City_33, UK",Singapore,Oil & Gas Services,Products Liability,Gallagher London,Property Damage & BI,09-02-2026,4,1673259,2190700,3865032,0.5668,1466332802
Crown Logistics Ltd,"50 Business Park, City_129, UK",Netherlands,Electronics Manufacturing,Products Liability,Aon UK Ltd,Property Damage & BI,17-01-2026,1,6192068,7796859,9065062,0.8601,1022941649
Oakridge Holdings Ltd,"6 Business Park, City_95, UK",United States,Manufacturing,Professional Indemnity,Gallagher London,Casualty,21-03-2026,1,8356977,9390886,10337832,0.9084,112831071
Sterling Shipping Ltd,"159 Business Park, City_69, UK",Germany,Manufacturing,General Liability,Gallagher London,Property Damage & BI,07-03-2026,1,8930897,10993666,11597918,0.9479,372992317
Oakridge Technologies Ltd,"208 Business Park, City_175, UK",United Kingdom,Oil & Gas Services,Industrial All Risks,Aon UK Ltd,Financial Lines,06-03-2026,1,115683,1316831,11169054,0.1179,278882019
Summit Capital Partners Ltd,"229 Business Park, City_42, UK",United Kingdom,Retail & Distribution,Industrial All Risks,WTW London,Financial Lines,11-01-2026,1,2950829,3721562,4842002,0.7686,1269978583
Greenfield Foods Ltd,"78 Business Park, City_107, UK",Singapore,Retail & Distribution,General Liability,Gallagher London,Products Liability,15-02-2026,0,604348,4827208,9591115,0.5033,1076206387
Oakridge Group PLC,"222 Business Park, City_50, UK",Singapore,Construction Contractor,General Liability,BMS Group,Products Liability,12-02-2026,4,1340450,1733118,3922857,0.4418,308616224
Ironclad Group PLC,"153 Business Park, City_27, UK",Germany,Oil & Gas Services,Energy Offshore,WTW London,Products Liability,07-02-2026,5,3975438,6550388,11301567,0.5796,188984970
Trinity Capital Partners Ltd,"70 Business Park, City_195, UK",Singapore,Manufacturing,General Liability,Aon UK Ltd,Property Damage & BI,11-03-2026,4,170810,1213127,1285365,0.9438,13643078
Crown Capital Partners Ltd,"159 Business Park, City_14, UK",Netherlands,Retail & Distribution,Marine Hull,Gallagher London,Marine,14-02-2026,5,1469412,2495885,3029723,0.8238,603157682
Redwood Group PLC,"163 Business Park, City_110, UK",Netherlands,Manufacturing,General Liability,Gallagher London,Financial Lines,15-01-2026,1,4439002,5654028,8809642,0.6418,462199837
Ironclad Capital Partners Ltd,"57 Business Park, City_109, UK",Germany,Food Processing,Industrial All Risks,Howden UK,Products Liability,31-01-2026,1,2187086,2583626,6831376,0.3782,1420720032
Highland Holdings Ltd,"126 Business Park, City_54, UK",Germany,Retail & Distribution,Industrial All Risks,Gallagher London,Marine,30-03-2026,4,3104482,4236278,11933180,0.355,1420443312
Silverstone Foods Ltd,"240 Business Park, City_87, UK",Netherlands,Financial Advisory,Energy Offshore,Howden UK,Financial Lines,24-02-2026,6,1477266,2817406,7555393,0.3729,1463345107
BlueWave Logistics Ltd,"127 Business Park, City_163, UK",Netherlands,Oil & Gas Services,Marine Hull,Aon UK Ltd,Property Damage & BI,30-01-2026,2,466577,684521,7472941,0.0916,937398178
Harbour Logistics Ltd,"35 Business Park, City_56, UK",Germany,Retail & Distribution,Products Liability,BMS Group,Marine,14-03-2026,3,502177,659404,1438177,0.4585,301686899
Greenfield Group PLC,"126 Business Park, City_183, UK",Singapore,Retail & Distribution,Marine Hull,Marsh Ltd,Financial Lines,09-02-2026,1,71740,132534,174204,0.7608,1315401374
Silverstone Engineering Ltd,"135 Business Park, City_160, UK",United Kingdom,Manufacturing,Marine Hull,Marsh Ltd,Products Liability,19-02-2026,6,5687443,6112821,7681354,0.7958,958512305
Sterling Logistics Ltd,"12 Business Park, City_35, UK",Germany,Financial Advisory,Industrial All Risks,Gallagher London,Marine,22-02-2026,5,1039561,1067665,4510629,0.2367,1347345677
Highland Industries Ltd,"32 Business Park, City_143, UK",Germany,Marine Shipping,Products Liability,Gallagher London,Property Damage & BI,06-01-2026,1,2996218,3029632,4613420,0.6567,1354936316
Crown Industries Ltd,"248 Business Park, City_49, UK",France,Financial Advisory,Industrial All Risks,Gallagher London,Property Damage & BI,04-01-2026,3,1542960,3141752,7416790,0.4236,494894307
Harbour Foods Ltd,"57 Business Park, City_140, UK",France,Financial Advisory,Industrial All Risks,BMS Group,Financial Lines,02-03-2026,2,6590613,11704608,12364894,0.9466,325633326
Summit Capital Partners Ltd,"35 Business Park, City_106, UK",Singapore,Electronics Manufacturing,Energy Offshore,Marsh Ltd,Energy,14-01-2026,5,434240,890412,6891736,0.1292,300199865
Redwood Industries Ltd,"30 Business Park, City_186, UK",Germany,Food Processing,Energy Offshore,Marsh Ltd,Property Damage & BI,12-03-2026,5,4093733,4313514,5389872,0.8003,855337396
Highland Group PLC,"56 Business Park, City_173, UK",United States,Financial Advisory,Energy Offshore,BMS Group,Financial Lines,17-02-2026,6,1798421,13233225,13475790,0.982,753526941
Oakridge Logistics Ltd,"203 Business Park, City_28, UK",France,Marine Shipping,Industrial All Risks,Marsh Ltd,Energy,19-01-2026,1,205302,2521405,3404544,0.7406,1017311703
Atlantic Group PLC,"146 Business Park, City_93, UK",Singapore,Manufacturing,Energy Offshore,Aon UK Ltd,Property Damage & BI,26-01-2026,0,304809,2848086,13852562,0.2056,912321837
Crown Holdings Ltd,"102 Business Park, City_41, UK",United States,Electronics Manufacturing,Energy Offshore,Howden UK,Casualty,16-03-2026,1,2289780,5122782,9125014,0.5614,247804072
Summit Shipping Ltd,"135 Business Park, City_16, UK",United Kingdom,Food Processing,Industrial All Risks,Gallagher London,Energy,25-01-2026,0,10505664,11305437,11755680,0.9617,1357056513
Highland Technologies Ltd,"163 Business Park, City_10, UK",France,Marine Shipping,Marine Hull,Aon UK Ltd,Energy,21-02-2026,5,1959164,6132272,13406804,0.4574,1206754995
Greenfield Foods Ltd,"149 Business Park, City_41, UK",Netherlands,Oil & Gas Services,General Liability,Gallagher London,Casualty,01-03-2026,4,1299497,1851013,10595383,0.1747,248219702
Everest Industries Ltd,"53 Business Park, City_147, UK",Singapore,Manufacturing,Energy Offshore,Aon UK Ltd,Marine,23-02-2026,1,2612911,3323611,8194308,0.4056,1448208032
Oakridge Capital Partners Ltd,"215 Business Park, City_116, UK",United States,Electronics Manufacturing,Energy Offshore,Gallagher London,Casualty,11-03-2026,6,137289,735271,7889184,0.0932,960577134
Crown Technologies Ltd,"90 Business Park, City_146, UK",France,Marine Shipping,Industrial All Risks,Marsh Ltd,Energy,10-03-2026,4,682733,1772477,10761853,0.1647,152175055
Trinity Shipping Ltd,"133 Business Park, City_108, UK",United States,Retail & Distribution,Energy Offshore,Marsh Ltd,Marine,04-02-2026,0,1635774,1828031,4467329,0.4092,1423748159
Trinity Logistics Ltd,"27 Business Park, City_132, UK",United Kingdom,Retail & Distribution,Industrial All Risks,Howden UK,Casualty,20-01-2026,3,565875,771616,9645206,0.08,792066971
Crown Technologies Ltd,"114 Business Park, City_176, UK",France,Electronics Manufacturing,Energy Offshore,Gallagher London,Financial Lines,29-03-2026,1,38018,407815,1049179,0.3887,714602463
Redwood Shipping Ltd,"212 Business Park, City_46, UK",United States,Construction Contractor,Professional Indemnity,WTW London,Energy,17-03-2026,1,2510159,3054387,9808567,0.3114,1087434086
Harbour Industries Ltd,"103 Business Park, City_116, UK",Netherlands,Financial Advisory,Products Liability,WTW London,Financial Lines,01-01-2026,4,277986,1886988,5887641,0.3205,1145704689
Everest Energy Services Ltd,"192 Business Park, City_179, UK",United Kingdom,Manufacturing,General Liability,Howden UK,Property Damage & BI,29-03-2026,1,772068,1400488,1565841,0.8944,794524122
Atlantic Technologies Ltd,"206 Business Park, City_146, UK",United States,Construction Contractor,Industrial All Risks,Lockton Companies,Casualty,19-03-2026,4,1967177,5684896,8276163,0.6869,63036653
Greenfield Industries Ltd,"74 Business Park, City_101, UK",France,Oil & Gas Services,General Liability,Aon UK Ltd,Products Liability,14-02-2026,3,10324239,11266908,12393475,0.9091,254942976
Sterling Engineering Ltd,"142 Business Park, City_79, UK",United Kingdom,Manufacturing,Professional Indemnity,Marsh Ltd,Financial Lines,03-02-2026,0,546796,775464,871406,0.8899,70072103
Redwood Shipping Ltd,"37 Business Park, City_177, UK",Netherlands,Manufacturing,Marine Hull,BMS Group,Financial Lines,16-01-2026,1,7297594,8755529,9180591,0.9537,150106216
Silverstone Energy Services Ltd,"210 Business Park, City_132, UK",United Kingdom,Manufacturing,Products Liability,Lockton Companies,Casualty,27-01-2026,2,6802,9037,155016,0.0583,689159327
BlueWave Group PLC,"219 Business Park, City_68, UK",Singapore,Oil & Gas Services,Energy Offshore,Aon UK Ltd,Energy,12-01-2026,1,4875492,12109740,13444810,0.9007,762928561
Sterling Engineering Ltd,"68 Business Park, City_101, UK",Netherlands,Construction Contractor,Marine Hull,Howden UK,Marine,07-01-2026,6,5098608,7466847,11721896,0.637,105964291
Silverstone Capital Partners Ltd,"131 Business Park, City_159, UK",United States,Electronics Manufacturing,Professional Indemnity,BMS Group,Products Liability,18-02-2026,0,2267074,6505752,12394271,0.5249,1491669311
Ironclad Capital Partners Ltd,"160 Business Park, City_1, UK",United Kingdom,Electronics Manufacturing,Marine Hull,BMS Group,Property Damage & BI,22-03-2026,0,32577,76655,285281,0.2687,1371737515
Sterling Industries Ltd,"81 Business Park, City_145, UK",United Kingdom,Financial Advisory,Professional Indemnity,Gallagher London,Energy,17-03-2026,2,2571763,6746707,11753846,0.574,1452152957
Crown Shipping Ltd,"16 Business Park, City_143, UK",France,Financial Advisory,Professional Indemnity,Aon UK Ltd,Marine,07-01-2026,2,549142,1085064,7401528,0.1466,1440013766
Crown Engineering Ltd,"197 Business Park, City_115, UK",France,Electronics Manufacturing,Industrial All Risks,Howden UK,Marine,02-03-2026,5,156591,1465747,5363144,0.2733,796359375
Trinity Capital Partners Ltd,"245 Business Park, City_43, UK",France,Construction Contractor,Energy Offshore,BMS Group,Marine,23-02-2026,1,6026982,9078186,10626462,0.8543,17940108
Harbour Energy Services Ltd,"45 Business Park, City_45, UK",Germany,Manufacturing,Energy Offshore,Howden UK,Property Damage & BI,16-01-2026,4,194067,288017,2217222,0.1299,537276664
Northbridge Logistics Ltd,"110 Business Park, City_97, UK",Germany,Oil & Gas Services,General Liability,Lockton Companies,Products Liability,13-03-2026,0,2322413,3128683,11959799,0.2616,1127821139
Highland Group PLC,"52 Business Park, City_145, UK",Singapore,Financial Advisory,General Liability,Marsh Ltd,Products Liability,08-02-2026,0,1251216,6516200,14775965,0.441,196039831
Atlantic Shipping Ltd,"153 Business Park, City_17, UK",Singapore,Construction Contractor,General Liability,Lockton Companies,Financial Lines,13-02-2026,5,1613892,2505250,3285574,0.7625,205362012
Everest Energy Services Ltd,"70 Business Park, City_109, UK",United States,Oil & Gas Services,General Liability,Aon UK Ltd,Marine,16-01-2026,4,260050,5059878,13824806,0.366,831000474
Trinity Group PLC,"143 Business Park, City_71, UK",Germany,Construction Contractor,Professional Indemnity,Gallagher London,Financial Lines,01-02-2026,6,3644122,3736202,13206794,0.2829,756515189
Silverstone Industries Ltd,"180 Business Park, City_126, UK",Germany,Electronics Manufacturing,Professional Indemnity,Gallagher London,Marine,15-03-2026,0,2914344,3172273,7274188,0.4361,868627307
Silverstone Foods Ltd,"112 Business Park, City_27, UK",Netherlands,Construction Contractor,Energy Offshore,BMS Group,Products Liability,14-02-2026,5,58840,158328,1678982,0.0943,1341668328
Highland Industries Ltd,"184 Business Park, City_115, UK",United States,Construction Contractor,Marine Hull,Lockton Companies,Financial Lines,17-01-2026,0,647151,3150943,11926357,0.2642,972048460
Trinity Logistics Ltd,"78 Business Park, City_151, UK",Netherlands,Electronics Manufacturing,Products Liability,Aon UK Ltd,Marine,06-01-2026,1,182224,898297,1138382,0.7891,1335355969
Summit Engineering Ltd,"79 Business Park, City_61, UK",United States,Financial Advisory,Products Liability,Marsh Ltd,Energy,14-01-2026,1,559262,1675618,1856847,0.9024,656110182
Summit Holdings Ltd,"98 Business Park, City_7, UK",France,Retail & Distribution,Industrial All Risks,BMS Group,Financial Lines,05-01-2026,6,15154,36877,438496,0.0841,180793276
Greenfield Foods Ltd,"53 Business Park, City_101, UK",Netherlands,Retail & Distribution,Professional Indemnity,BMS Group,Energy,21-01-2026,3,4877574,4908292,8350277,0.5878,956428828
Greenfield Technologies Ltd,"154 Business Park, City_115, UK",United States,Oil & Gas Services,Professional Indemnity,WTW London,Products Liability,04-03-2026,5,3086705,5598062,6726823,0.8322,1118266841
Trinity Shipping Ltd,"153 Business Park, City_80, UK",France,Manufacturing,Industrial All Risks,WTW London,Products Liability,02-01-2026,6,8246679,13809195,14497843,0.9525,166375088
Harbour Industries Ltd,"47 Business Park, City_88, UK",Germany,Oil & Gas Services,Products Liability,Gallagher London,Energy,16-02-2026,5,1796837,2784754,7663055,0.3634,1216306736
Everest Shipping Ltd,"117 Business Park, City_78, UK",France,Financial Advisory,Products Liability,Lockton Companies,Products Liability,22-03-2026,1,401958,1577651,12580956,0.1254,859656224
Trinity Technologies Ltd,"237 Business Park, City_187, UK",United Kingdom,Retail & Distribution,Marine Hull,Aon UK Ltd,Casualty,23-01-2026,3,2783080,5479261,10048159,0.5453,580522124
Silverstone Energy Services Ltd,"147 Business Park, City_14, UK",United States,Manufacturing,Products Liability,Marsh Ltd,Property Damage & BI,23-03-2026,1,285325,4263046,4526008,0.9419,689391323
Redwood Capital Partners Ltd,"141 Business Park, City_152, UK",United Kingdom,Marine Shipping,Products Liability,WTW London,Casualty,13-02-2026,4,3910914,10808383,14611847,0.7397,463703082
Summit Logistics Ltd,"6 Business Park, City_156, UK",Netherlands,Marine Shipping,Industrial All Risks,Marsh Ltd,Marine,04-01-2026,4,1190669,3499906,8682476,0.4031,560990436
Summit Technologies Ltd,"234 Business Park, City_175, UK",United States,Retail & Distribution,Products Liability,WTW London,Financial Lines,01-03-2026,5,1718206,1718564,13353262,0.1287,702158983
Summit Technologies Ltd,"228 Business Park, City_177, UK",Netherlands,Oil & Gas Services,Energy Offshore,BMS Group,Property Damage & BI,15-02-2026,5,1460772,1890051,3277356,0.5767,1267113435
Northbridge Logistics Ltd,"197 Business Park, City_72, UK",France,Financial Advisory,Products Liability,Aon UK Ltd,Energy,05-01-2026,0,1890510,5317572,9418300,0.5646,294820137
BlueWave Group PLC,"112 Business Park, City_27, UK",United Kingdom,Construction Contractor,Industrial All Risks,BMS Group,Financial Lines,09-01-2026,4,348542,547185,1711025,0.3198,13424428
Atlantic Capital Partners Ltd,"15 Business Park, City_93, UK",Singapore,Financial Advisory,General Liability,Lockton Companies,Energy,17-03-2026,4,3422759,6517580,13268689,0.4912,804908509
Silverstone Capital Partners Ltd,"128 Business Park, City_198, UK",United Kingdom,Food Processing,General Liability,WTW London,Financial Lines,08-03-2026,6,2490834,4659942,5232951,0.8905,501984363
Summit Engineering Ltd,"48 Business Park, City_43, UK",France,Oil & Gas Services,Energy Offshore,BMS Group,Energy,16-03-2026,3,1896736,2732026,11517817,0.2372,1364369208
Greenfield Logistics Ltd,"83 Business Park, City_148, UK",Netherlands,Oil & Gas Services,Products Liability,Howden UK,Products Liability,01-01-2026,6,3642776,8313095,10646895,0.7808,851234014
Everest Foods Ltd,"87 Business Park, City_68, UK",France,Financial Advisory,Industrial All Risks,Howden UK,Financial Lines,02-02-2026,3,91394,6595592,7989815,0.8255,408262164
Oakridge Capital Partners Ltd,"110 Business Park, City_60, UK",United States,Electronics Manufacturing,General Liability,WTW London,Marine,26-02-2026,4,2084847,9737275,13794129,0.7059,985904104
Greenfield Capital Partners Ltd,"89 Business Park, City_20, UK",Singapore,Marine Shipping,Energy Offshore,Marsh Ltd,Marine,21-03-2026,5,289404,355574,609277,0.5836,32490622
Everest Foods Ltd,"191 Business Park, City_165, UK",United States,Retail & Distribution,Products Liability,Marsh Ltd,Marine,27-02-2026,0,3721749,4569979,11552022,0.3956,1059701464
Silverstone Foods Ltd,"194 Business Park, City_121, UK",United States,Construction Contractor,Professional Indemnity,BMS Group,Marine,26-02-2026,2,2350135,4052768,7343303,0.5519,561033178
BlueWave Group PLC,"100 Business Park, City_187, UK",France,Food Processing,Professional Indemnity,WTW London,Casualty,07-03-2026,4,652149,763476,9864037,0.0774,1390747361
BlueWave Capital Partners Ltd,"174 Business Park, City_176, UK",Germany,Construction Contractor,Professional Indemnity,Aon UK Ltd,Marine,13-01-2026,6,960506,2256401,4769397,0.4731,1365772584
Sterling Group PLC,"77 Business Park, City_35, UK",France,Marine Shipping,General Liability,Aon UK Ltd,Energy,23-03-2026,0,4174944,7353726,9773693,0.7524,1329318151
Trinity Technologies Ltd,"246 Business Park, City_160, UK",Netherlands,Manufacturing,Energy Offshore,Lockton Companies,Property Damage & BI,17-01-2026,0,12598875,14195875,14788911,0.9599,1130834098
Sterling Industries Ltd,"196 Business Park, City_187, UK",France,Food Processing,Industrial All Risks,Lockton Companies,Property Damage & BI,07-02-2026,4,9682559,10384882,12340918,0.8415,560070948
Northbridge Capital Partners Ltd,"212 Business Park, City_87, UK",Germany,Oil & Gas Services,Products Liability,BMS Group,Casualty,01-02-2026,4,5635674,12250884,14280084,0.8579,1408733543
Greenfield Foods Ltd,"225 Business Park, City_117, UK",Singapore,Electronics Manufacturing,Energy Offshore,Howden UK,Energy,02-01-2026,3,1350264,5891899,14882293,0.3959,605079927
Redwood Capital Partners Ltd,"232 Business Park, City_95, UK",Singapore,Retail & Distribution,Professional Indemnity,Marsh Ltd,Energy,02-03-2026,3,243998,2290031,3532909,0.6482,1186596379
Oakridge Logistics Ltd,"211 Business Park, City_70, UK",Germany,Food Processing,General Liability,Gallagher London,Products Liability,21-02-2026,1,1004641,3948591,6117106,0.6455,580296087
Northbridge Technologies Ltd,"249 Business Park, City_176, UK",Germany,Construction Contractor,Products Liability,WTW London,Products Liability,05-01-2026,3,2057757,2660896,3297270,0.807,343826271
Harbour Holdings Ltd,"88 Business Park, City_106, UK",Singapore,Marine Shipping,Industrial All Risks,Marsh Ltd,Property Damage & BI,06-02-2026,3,11724523,12031091,12584824,0.956,299333862
Summit Logistics Ltd,"177 Business Park, City_101, UK",Singapore,Electronics Manufacturing,Products Liability,Howden UK,Marine,18-03-2026,6,9945867,11659700,12620089,0.9239,1128978731
Northbridge Shipping Ltd,"43 Business Park, City_121, UK",United States,Food Processing,Energy Offshore,Aon UK Ltd,Property Damage & BI,16-02-2026,4,247995,1564137,2817250,0.5552,800795720
Sterling Shipping Ltd,"175 Business Park, City_110, UK",Netherlands,Construction Contractor,Products Liability,Marsh Ltd,Energy,04-02-2026,3,1045892,4567519,7155756,0.6383,350952280
Redwood Foods Ltd,"43 Business Park, City_75, UK",Germany,Retail & Distribution,Marine Hull,WTW London,Products Liability,22-02-2026,4,417537,1258558,5224403,0.2409,1007115996
Greenfield Holdings Ltd,"6 Business Park, City_133, UK",United States,Electronics Manufacturing,Professional Indemnity,Aon UK Ltd,Financial Lines,05-02-2026,5,664439,6844874,13097731,0.5226,944597060
Atlantic Capital Partners Ltd,"153 Business Park, City_176, UK",Germany,Retail & Distribution,Marine Hull,Aon UK Ltd,Financial Lines,18-01-2026,2,8799889,11974159,13212137,0.9063,1323591780
Northbridge Energy Services Ltd,"10 Business Park, City_35, UK",France,Financial Advisory,Products Liability,BMS Group,Energy,13-02-2026,3,6732,238947,968968,0.2466,97438799
Atlantic Technologies Ltd,"111 Business Park, City_10, UK",Netherlands,Marine Shipping,General Liability,Gallagher London,Marine,20-01-2026,5,838407,1451509,3740041,0.3881,1431938450
Everest Industries Ltd,"65 Business Park, City_86, UK",France,Oil & Gas Services,Industrial All Risks,Gallagher London,Financial Lines,01-03-2026,6,595325,10878473,14659040,0.7421,131532189
BlueWave Energy Services Ltd,"144 Business Park, City_132, UK",United States,Oil & Gas Services,Energy Offshore,Marsh Ltd,Property Damage & BI,10-03-2026,1,5713456,7345793,14123810,0.5201,401982512
Summit Logistics Ltd,"162 Business Park, City_14, UK",France,Marine Shipping,Energy Offshore,Marsh Ltd,Property Damage & BI,17-01-2026,1,1245860,1442440,5400377,0.2671,144877375
Trinity Shipping Ltd,"26 Business Park, City_70, UK",Germany,Construction Contractor,Professional Indemnity,Aon UK Ltd,Property Damage & BI,20-01-2026,2,1735819,2674116,3383673,0.7903,1115569533
Crown Group PLC,"117 Business Park, City_86, UK",Singapore,Retail & Distribution,General Liability,BMS Group,Casualty,28-01-2026,5,4072931,6127697,6367100,0.9624,324865828
Crown Shipping Ltd,"149 Business Park, City_106, UK",Netherlands,Manufacturing,Professional Indemnity,Aon UK Ltd,Marine,31-03-2026,3,264941,2644701,7003977,0.3776,353283682
Summit Industries Ltd,"24 Business Park, City_51, UK",United Kingdom,Retail & Distribution,General Liability,Lockton Companies,Energy,18-03-2026,1,1358541,1956922,4175213,0.4687,452432589
Silverstone Industries Ltd,"104 Business Park, City_93, UK",Germany,Retail & Distribution,Energy Offshore,Howden UK,Energy,16-03-2026,4,9355464,9496544,14610068,0.65,1433664684
Redwood Holdings Ltd,"101 Business Park, City_10, UK",United Kingdom,Electronics Manufacturing,Energy Offshore,WTW London,Marine,08-03-2026,3,1852569,5312961,13359219,0.3977,438796996
Summit Engineering Ltd,"181 Business Park, City_26, UK",Singapore,Construction Contractor,Energy Offshore,Howden UK,Financial Lines,20-02-2026,5,4189501,4198215,5129784,0.8184,1200121676
Redwood Industries Ltd,"232 Business Park, City_74, UK",France,Food Processing,Products Liability,Aon UK Ltd,Marine,14-03-2026,5,175336,3973697,5195734,0.7648,244997460
Greenfield Energy Services Ltd,"169 Business Park, City_38, UK",United Kingdom,Manufacturing,Marine Hull,Aon UK Ltd,Casualty,26-03-2026,5,3538158,6159230,10442914,0.5898,1263227583
Greenfield Energy Services Ltd,"2 Business Park, City_56, UK",France,Manufacturing,General Liability,BMS Group,Property Damage & BI,17-02-2026,3,145455,659761,2611882,0.2526,1459383593
Sterling Logistics Ltd,"236 Business Park, City_9, UK",United States,Manufacturing,General Liability,Howden UK,Energy,03-01-2026,4,1047382,6215715,9941964,0.6252,1087897494
BlueWave Engineering Ltd,"121 Business Park, City_3, UK",United Kingdom,Retail & Distribution,Products Liability,Gallagher London,Products Liability,19-02-2026,0,1227299,5998020,11837420,0.5067,1106989821
Sterling Capital Partners Ltd,"172 Business Park, City_74, UK",Germany,Marine Shipping,Energy Offshore,Howden UK,Property Damage & BI,03-02-2026,1,3515899,7633726,12200298,0.6257,86782923
Silverstone Energy Services Ltd,"83 Business Park, City_125, UK",France,Financial Advisory,Marine Hull,Marsh Ltd,Property Damage & BI,09-02-2026,4,3008274,4533603,12499596,0.3627,116430607
Redwood Engineering Ltd,"25 Business Park, City_26, UK",Singapore,Manufacturing,Professional Indemnity,Gallagher London,Financial Lines,22-03-2026,4,429164,875763,10327405,0.0848,478424891
Oakridge Energy Services Ltd,"34 Business Park, City_33, UK",France,Manufacturing,Energy Offshore,WTW London,Marine,21-03-2026,0,1408470,1488230,8723511,0.1706,1289849939
Northbridge Foods Ltd,"126 Business Park, City_159, UK",United States,Financial Advisory,Products Liability,Lockton Companies,Property Damage & BI,23-02-2026,4,541764,633039,8554586,0.074,1165593596
Everest Group PLC,"231 Business Park, City_124, UK",Netherlands,Construction Contractor,Energy Offshore,WTW London,Property Damage & BI,12-02-2026,2,1192265,2347778,12415541,0.1891,1167261619
Sterling Capital Partners Ltd,"51 Business Park, City_97, UK",United States,Electronics Manufacturing,General Liability,Gallagher London,Products Liability,20-01-2026,4,179538,411452,5886298,0.0699,1193947531
Silverstone Holdings Ltd,"91 Business Park, City_40, UK",United Kingdom,Electronics Manufacturing,Products Liability,WTW London,Energy,30-03-2026,6,142452,439125,489604,0.8969,890833567
Sterling Group PLC,"73 Business Park, City_155, UK",France,Electronics Manufacturing,Professional Indemnity,BMS Group,Marine,08-02-2026,6,158045,7980535,9749005,0.8186,845201895
Silverstone Engineering Ltd,"39 Business Park, City_106, UK",Singapore,Manufacturing,Marine Hull,Aon UK Ltd,Energy,15-02-2026,6,866105,1087373,2791717,0.3895,1060491381
Everest Industries Ltd,"125 Business Park, City_142, UK",Singapore,Marine Shipping,Marine Hull,WTW London,Property Damage & BI,10-03-2026,0,10366,445245,7275259,0.0612,1251852128
